File Name (.keras),Size (.keras) MB,Size (.tflite) MB
EfficientNetV2B0_2024-12-24 05_12_11.keras,31.41,23.7
EfficientNetV2B3_2024-12-24 05_01_44.keras,153.66,50.46
MobileNetV3Small_2024-12-24 03_38_23.keras,6.39,4.25
EfficientNetV2B2_2024-12-24 04_46_52.keras,105.64,34.6
EfficientNetV2B1Modifikasi_2024-12-24 06_55_10.keras,23.05,7.46
EfficientNetV2B3_2024-12-24 06_35_33.keras,153.66,50.46
MobileNetV3Large_2024-12-24 04_10_28.keras,15.6,12.4
EfficientNetV2B3Modifikasi_2024-12-24 07_18_52.keras,35.32,11.51
EfficientNetV2B0Modifikasi_2024-12-24 06_44_24.keras,19.08,6.18
EfficientNetV2B2Modifikasi_2024-12-24 07_06_04.keras,26.4,8.57
EfficientNetV2B2_2024-12-24 05_34_14.keras,44.8,34.6
EfficientNetV2B1_2024-12-24 04_33_53.keras,84.25,27.52
EfficientNetV2B2_2024-12-24 06_20_53.keras,105.64,34.6
EfficientNetV2B0_2024-12-24 05_57_15.keras,72.5,23.7
EfficientNetV2B1_2024-12-24 06_08_36.keras,84.25,27.52
EfficientNetV2B3_2024-12-24 05_47_26.keras,63.63,50.46
EfficientNetV2B1_2024-12-24 05_22_52.keras,36.38,27.52
MobileNetV3Small_2024-12-24 03_55_36.keras,6.39,4.25
EfficientNetV2B0_2024-12-24 04_21_48.keras,72.5,23.7
